"STATENAME","YEAR","White","Black","Latine","Asian"
"Utah",2013,0.79459107468375,0.00949438651550292,0.133825622088806,0.0307383435049875
"Vermont",2013,0.940170435504205,0.0104623142843464,0.014753522812505,0.0140625249349696
"Virginia",2013,0.635258077539782,0.189444343225302,0.0855847867023469,0.0587943327233955
"Washington",2013,0.708781987449877,0.0351939049310856,0.119449218708536,0.0816427848270492
"West Virginia",2013,0.926558428391461,0.0337113008438746,0.0138240547396759,0.00619046283673012
"Wisconsin",2013,0.824156457061323,0.0614047750601501,0.06307889668176,0.0246864156366512
"Wyoming",2013,0.847267179031267,0.0132753690844372,0.0890625375434646,0.00872724651510835
"Alabama",2014,0.660880768808034,0.266161405887808,0.0392316373835237,0.0119609178663569
"Alaska",2014,0.617820320007818,0.0309284787412519,0.066952433177872,0.0705412551647003
"Arizona",2014,0.561276087115412,0.0403726726528653,0.305485387768878,0.0321195148053535
"Arkansas",2014,0.733703730048419,0.156796069538213,0.069272231472214,0.0149698166344106
"California",2014,0.382751833000451,0.0552206172282714,0.386332813607371,0.140338921461246
"Colorado",2014,0.688292052116315,0.0383497271963115,0.212107995233637,0.0294695573040849
"Connecticut",2014,0.68564511075084,0.0974530100979321,0.150200865966001,0.0422161901110386
"Delaware",2014,0.635052489595068,0.213840323039202,0.0886797333088218,0.038940203973006
"District of Columbia",2014,0.356508568159018,0.476949975185652,0.103555509012844,0.0381002681770788
"Florida",2014,0.555890911395934,0.155218966468957,0.240776076484456,0.0263149441744121
"Georgia",2014,0.541963861186057,0.308536314949388,0.0914284084436866,0.0371837422973549
"Hawaii",2014,0.229528001966805,0.0205873505964168,0.100350742236508,0.447940595719381
"Idaho",2014,0.827894649255046,0.0053925935352507,0.121057423106291,0.0156399896235096
"Illinois",2014,0.621709736673349,0.141076100610376,0.167122132698993,0.0512363573690005
"Indiana",2014,0.80253454108056,0.0922330413507649,0.064573345935298,0.0196919592745331
"Iowa",2014,0.871894155563695,0.0339168736639583,0.0549984133247252,0.0223895007798203
"Kansas",2014,0.767369795190875,0.0563949089899832,0.11312073845196,0.0250862510980465
"Kentucky",2014,0.854091022071814,0.0775473738613518,0.0327795195466955,0.0128155774486984
"Louisiana",2014,0.592322561830115,0.321834037468417,0.0477846198315754,0.0171508724478867
"Maine",2014,0.936074202553363,0.0130464953848953,0.0125081855424712,0.0104654650929374
"Maryland",2014,0.524211118821058,0.292704964705382,0.0930025348005917,0.0611986432650922
"Massachusetts",2014,0.738119621526229,0.0650357991688568,0.108102578821029,0.0612161636479217
"Michigan",2014,0.756913632732273,0.138188092546456,0.0480872769662025,0.0280754241450222
"Minnesota",2014,0.813445899552754,0.0566219909099455,0.050509485405722,0.0467787992061091
"Mississippi",2014,0.572092119145821,0.377262256607124,0.0266131922370786,0.00793766630740204
"Missouri",2014,0.799321655870805,0.115609583697048,0.0381983343528066,0.018115014061804
"Montana",2014,0.868123515625076,0.00546611448652229,0.0332431595411785,0.00850447303041582
"Nebraska",2014,0.8049745336574,0.0457644765913209,0.101064946481616,0.0193191294406653
"Nevada",2014,0.51329101239513,0.0812592304812196,0.278080475531146,0.0822084752944508
"New Hampshire",2014,0.911791639062927,0.0117703097572906,0.031250824343747,0.0255506993072875
"New Jersey",2014,0.565983324336344,0.127913584148889,0.193523286353198,0.0917862986571644
"New Mexico",2014,0.387177714315305,0.0177073723659504,0.476563743663609,0.0154183120985514
"New York",2014,0.563858604481757,0.144157311672757,0.185777212021314,0.080644570732424
"North Carolina",2014,0.639787815000135,0.214343897463828,0.0895463821067735,0.0248526643901768
"North Dakota",2014,0.868747312307805,0.02098090284821,0.0241763829275087,0.0107413026956708
"Ohio",2014,0.800163582312928,0.121259033532649,0.034031607111268,0.019119189543911
"Oklahoma",2014,0.66982383676749,0.0727726375955345,0.0975286297163188,0.0208679566101632
"Oregon",2014,0.768674883300476,0.0168191385959384,0.124974592209688,0.0428576214177534
"Pennsylvania",2014,0.777298627088992,0.107067304522824,0.0651916301673023,0.0312323040938801
"Rhode Island",2014,0.740253967832763,0.0549445446386517,0.140456588635229,0.0330770404473958
"South Carolina",2014,0.637565954720576,0.273056578379392,0.0533388432693593,0.0142200219266207
"South Dakota",2014,0.831298385442611,0.0159955460485832,0.0343247282210566,0.0115134644123421
"Tennessee",2014,0.745493752664386,0.16747229344216,0.0491495952576682,0.0157543830290386
"Texas",2014,0.434600818089341,0.116813699824735,0.385980346892257,0.0431490081336329
